Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2026-05-23 16:07:39.603265+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,203523.5000,207597.5000,,203.523500000000000000,0,,,market_order,closed,,,1328323728
2026-05-23 16:07:29.892939+05:30 IST Asia/Kolkata,XRP_INR,1.0,buy,1.00000000/0.00000000,132.4080,135.0587,,132.40800000,0,,,market_order,closed,,,1328323554
2026-05-23 16:07:13.043083+05:30 IST Asia/Kolkata,SOL_INR,0.05,buy,0.05000000/0.00000000,8247.7000,8412.9000,,412.38500000,0,,,market_order,closed,,,1328323193
2026-05-23 14:48:57.591537+05:30 IST Asia/Kolkata,BTC_INR,0.0003,sell,0.00030000/0.00000000,7461196.5000,7311963.8000,,2238.35895000,2.641263561,,,market_order,closed,,,1328248854
2026-05-22 20:07:00.305934+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7659642.5000,7812846.0000,,765.96425000,0,,,market_order,closed,,,1327189149
2026-05-22 16:10:35.005782+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7698676.5000,7852657.6000,,769.86765000,0,,,market_order,closed,,,1326869679
2026-05-21 23:39:23.519433+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7733298.5000,7887374.4000,,773.32985000,0,,,market_order,closed,,,1326231954
2026-05-21 19:16:31.076123+05:30 IST Asia/Kolkata,ETH_INR,0.003,sell,0.003000000000000000/0.000000000000000000,210797.5000,206569.3000,,632.392500000000000000,0.74622315,,,market_order,closed,,,1325814515
2026-05-21 15:07:57.123130+05:30 IST Asia/Kolkata,BTC_INR,0.0001,sell,0.00010000/0.00000000,7751621.5000,7596578.3000,,775.16215000,0.914691337,,,market_order,closed,,,1325478750
2026-05-21 14:29:27.822850+05:30 IST Asia/Kolkata,SOL_INR,0.05,sell,0.05000000/0.00000000,8652.4000,8479.1100,,432.62000000,0.5104916,,,market_order,closed,,,1325444488
2026-05-21 13:46:56.761142+05:30 IST Asia/Kolkata,ETH_INR,0.001,sell,0.001000000000000000/0.000000000000000000,213498.5000,209226.1000,,213.498500000000000000,0.25192823,,,market_order,closed,,,1325402310
2026-05-21 13:45:21.923516+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,213714.5000,217992.3000,,213.714500000000000000,0,,,market_order,closed,,,1325399588
2026-05-20 11:08:42.305288+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7650964.0000,7803988.8000,,765.09640000,0,,,market_order,closed,,,1323897075
2026-05-19 13:44:05.719734+05:30 IST Asia/Kolkata,SOL_INR,0.05,buy,0.05000000/0.00000000,8405.5000,8573.8100,,420.27500000,0,,,market_order,closed,,,1322710512
2026-05-19 13:34:04.460281+05:30 IST Asia/Kolkata,ETH_INR,0.003,buy,0.003000000000000000/0.000000000000000000,211261.5000,215489.2000,,633.784500000000000000,0,,,market_order,closed,,,1322698473
2026-05-18 05:50:31.434573+05:30 IST Asia/Kolkata,BTC_INR,0.0002,sell,0.00020000/0.00000000,7570956.0000,7419528.1000,,1514.19120000,1.6080710544,,,market_order,closed,,,1320839921
2026-05-18 05:50:24.315146+05:30 IST Asia/Kolkata,ETH_INR,0.005,sell,0.005000000000000000/0.000000000000000000,208044.0000,203880.7000,,1040.220000000000000000,1.10471364,,,market_order,closed,,,1320839827
2026-05-17 15:26:10.284446+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7653437.0000,7806515.9000,,765.34370000,0,,,market_order,closed,,,1320117133
2026-05-17 11:34:41.188709+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7656465.5000,7809602.9000,,765.64655000,0,,,market_order,closed,,,1319951268
2026-05-17 11:29:40.666813+05:30 IST Asia/Kolkata,ETH_INR,0.003,buy,0.003000000000000000/0.000000000000000000,214095.0000,218379.4000,,642.285000000000000000,0,,,market_order,closed,,,1319946332
2026-05-17 00:21:33.318702+05:30 IST Asia/Kolkata,ETH_INR,0.002,buy,0.002000000000000000/0.000000000000000000,213524.5000,217797.5000,,427.049000000000000000,0,,,market_order,closed,,,1319656242
2026-05-17 00:05:05.694588+05:30 IST Asia/Kolkata,ETH_INR,0.007,sell,0.007000000000000000/0.000000000000000000,213400.0000,209124.2000,,1493.800000000000000000,1.5864156,,,market_order,closed,,,1319648675
2026-05-08 00:48:35.412884+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,219837.0000,224237.3000,,219.837000000000000000,0,,,market_order,closed,,,1307267799
2026-05-07 10:28:38.881529+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,222985.5000,227447.7000,,222.985500000000000000,0,,,market_order,closed,,,1306031076
2026-05-06 18:50:50.145446+05:30 IST Asia/Kolkata,ETH_INR,0.002,buy,0.002000000000000000/0.000000000000000000,229247.0000,233834.4000,,458.494000000000000000,0,,,market_order,closed,,,1305145699
2026-05-06 18:01:57.271254+05:30 IST Asia/Kolkata,ETH_INR,0.003,sell,0.003000000000000000/0.000000000000000000,231241.0000,226613.3000,,693.723000000000000000,0.736733826,,,market_order,closed,,,1305070763
2026-05-05 09:24:23.441967+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,228449.0000,233021.5000,,228.449000000000000000,0,,,market_order,closed,,,1302812515
2026-05-05 09:22:00.497423+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,228339.5000,232909.8000,,228.339500000000000000,0,,,market_order,closed,,,1302810397
2026-05-05 09:21:37.903458+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,228253.0000,232820.6000,,228.253000000000000000,0,,,market_order,closed,,,1302809975
2026-05-04 15:52:48.637090+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,221871.0000,226311.4000,,221.871000000000000000,0,,,market_order,closed,,,1301629789
2026-05-04 15:42:37.594962+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,222989.0000,227445.2000,,222.989000000000000000,0,,,market_order,closed,,,1301593160
2026-05-04 15:40:57.515934+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,222848.0000,227307.5000,,222.848000000000000000,0,,,market_order,closed,,,1301587112
2026-05-03 10:24:33.653673+05:30 IST Asia/Kolkata,ETH_INR,0.004,sell,0.004000000000000000/0.000000000000000000,220402.0000,215992.5000,,881.608000000000000000,0.936267696,,,market_order,closed,,,1299923206
2026-05-02 17:02:26.189305+05:30 IST Asia/Kolkata,BTC_INR,0.0001,sell,0.00010000/0.00000000,7489845.0000,7340025.1000,,748.98450000,0.795421539,,,market_order,closed,,,1299235816
2026-04-30 23:44:53.792182+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,216372.5000,220702.5000,,216.372500000000000000,0,,,market_order,closed,,,1297072401
2026-04-30 19:38:26.557522+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7345780.0000,7492713.4000,,734.57800000,0,,,market_order,closed,,,1296772344
2026-04-30 19:35:45.013054+05:30 IST Asia/Kolkata,BTC_INR,0.0001,sell,0.00010000/0.00000000,7353956.5000,7206851.9000,,735.39565000,0.7809901803,,,market_order,closed,,,1296768861
2026-04-29 21:32:28.492210+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7270123.0000,7415535.6000,,727.01230000,0,,,market_order,closed,,,1295508284
2026-04-29 18:34:01.313618+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,221760.0000,226197.7000,,221.760000000000000000,0,,,market_order,closed,,,1295200403
2026-04-29 15:37:01.776543+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,224431.0000,228923.1000,,224.431000000000000000,0,,,market_order,closed,,,1294928421
2026-04-29 14:57:32.642394+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,222982.5000,227445.2000,,222.982500000000000000,0,,,market_order,closed,,,1294856309
2026-04-27 06:41:28.036470+05:30 IST Asia/Kolkata,BTC_INR,0.0001,sell,0.00010000/0.00000000,7556980.0000,7405793.9000,,755.69800000,0.802551276,,,market_order,closed,,,1291761729
2026-04-27 00:38:51.609996+05:30 IST Asia/Kolkata,ETH_INR,0.001,sell,0.001000000000000000/0.000000000000000000,225155.0000,220650.5000,,225.155000000000000000,0.23911461,,,market_order,closed,,,1291600322
2026-04-26 12:21:50.279098+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,222461.5000,226913.2000,,222.461500000000000000,0,,,market_order,closed,,,1290988521
2026-04-26 12:16:39.711038+05:30 IST Asia/Kolkata,BTC_INR,0.0001,buy,0.00010000/0.00000000,7454045.5000,7603135.5000,,745.40455000,0,,,market_order,closed,,,1290983956
2026-04-22 10:14:30.787814+05:30 IST Asia/Kolkata,BTC_INR,0.0002,sell,0.00020000/0.00000000,7425871.5000,7425816.5000,,1485.17430000,1.5772551066,,,market_order,closed,,,1285806070
2026-04-22 10:14:18.248426+05:30 IST Asia/Kolkata,BTC_INR,0.0002,sell,0.00000000/0.00020000,,7426608.5000,,,0,,,market_order,cancelled,order_size_not_available_in_orderbook,,1285805848
2026-04-21 17:28:48.112404+05:30 IST Asia/Kolkata,ETH_INR,0.001,sell,0.001000000000000000/0.000000000000000000,222565.5000,222564.0000,,222.565500000000000000,0.236364561,,,market_order,closed,,,1284686762
2026-04-19 07:18:33.071132+05:30 IST Asia/Kolkata,ETH_INR,0.001,buy,0.001000000000000000/0.000000000000000000,224260.0000,224262.5000,,224.260000000000000000,0,,,market_order,closed,,,1280831834
2026-04-18 21:00:46.163930+05:30 IST Asia/Kolkata,BTC_INR,0.0002,buy,0.00020000/0.00000000,7262391.5000,7262410.5000,,1452.47830000,0,,,market_order,closed,,,1280395431
2026-04-18 19:19:33.934098+05:30 IST Asia/Kolkata,BTC_INR,0.0002,sell,0.00020000/0.00000000,7235669.0000,7235615.5000,,1447.13380000,1.5368560956,,,market_order,closed,,,1280264110
2026-04-16 11:08:21.612582+05:30 IST Asia/Kolkata,BTC_INR,0.0002,buy,0.00020000/0.00000000,7138496.0000,7138510.0000,,1427.69920000,0,,,market_order,closed,,,1275989103
2026-04-14 06:26:59.166383+05:30 IST Asia/Kolkata,ETH_INR,0.001,sell,0.001000000000000000/0.000000000000000000,225749.0000,225747.5000,,225.749000000000000000,0.239745438,,,market_order,closed,,,1272263717
2026-04-14 06:26:43.652421+05:30 IST Asia/Kolkata,BTC_INR,0.0002,sell,0.00020000/0.00000000,7085695.0000,7085677.5000,,1417.13900000,1.505001618,,,market_order,closed,,,1272263515
